index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
170;118.345;154;173;169;103;0;141.976682877581;152.15433
171;725.273;652;519;509;360;0;277.5731712822227;292.52186
172;234.283;396;270;266;162;0;263.6667745544113;275.06097
173;1730.287;2313;1299;1275;1081;7;390.0652650543302;412.25693
174;78.809;114;110;106;61;0;107.7467261843648;114.19596
175;2912.344;5065;2593;2543;2455;1;420.0489568164394;441.74221
176;5395.626;1319;902;881;730;0;275.1406079849817;291.42136
177;1379.776;2152;1221;1195;1005;0;359.4717629537514;377.2153
178;169.061;219;187;183;120;0;250.0439946821865;258.81833
179;3544.365;5752;2950;2897;2815;2;449.6722290768867;474.78889
180;3246.139;5449;2816;2764;2656;1;484.2428841052878;512.68333
181;1021.823;1639;1001;987;862;2;445.7575526705924;467.6417
182;1990.381;3270;1860;1830;1713;5;390.3625102837194;413.71782
183;115.361;147;138;132;87;0;69.65597245925116;73.012193
184;28.316;21;57;55;18;0;33.91055250861392;35.041631
185;1737.284;2830;1563;1532;1354;0;386.7037186191121;409.54625
186;1499.346;1535;967;946;791;0;297.0047724810036;309.96046
187;703.348;815;474;463;402;4;221.3836394997163;237.39192
188;6.627;0;1;0;0;0;19.23538406167134;20.727922
189;35.979;5;40;38;4;0;82.32860985101109;84.953319
190;418.373;470;232;230;151;0;215.1574476268443;218.64675
191;5.474;0;1;0;0;0;16;16
192;577.404;416;322;314;214;0;239.9539197330242;256.17872
193;20.653;2;41;39;3;0;38.11823710509184;39.242641
194;703.095;1002;617;599;489;0;155.7292328169036;166.82338
195;1679.518;2681;1558;1529;1361;2;426.3993580689279;452.62951
196;3395.113;6068;3121;3067;2926;2;469.0525291702135;496.87215
197;1569.563;2529;1460;1439;1251;2;400.4027542762241;425.54625
198;614.516;1064;604;589;450;0;256.8757858615202;268.94827
199;621.979;730;431;422;330;0;160.9371067594825;170.5513
