index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
178;8091.38;12072;7323;5369;5346;0;1653.127169729305;1985.6783
179;173.682;355;229;176;169;0;168.0763956032342;189.1127
180;693.293;937;591;423;407;0;262.5180186434111;307.56854
181;6049.66;13853;8358;6205;6143;0;1780.454147122256;2152.0042
182;742.507;1595;995;727;710;0;311.5880815190188;372.12489
183;10006.015;19463;11747;8742;8702;0;1626.178397883449;1948.7077
184;10442.932;21524;13038;9582;9531;0;1988.939842004178;2383.0458
185;14758.635;31625;19089;14166;14116;0;2078.103535183176;2488.4895
186;18663.134;35625;21492;15971;15951;0;2382.660912661873;2864.0408
187;3793.839;6258;3793;2816;2772;0;812.0653812393604;971.91883
188;2641.918;5987;3597;2701;2678;0;1358.071201736028;1623.8671
189;11599.498;22105;13371;9875;9810;0;2945.069089547464;3538.6337
190;14459.876;26241;15872;11793;11717;0;2278.550912838805;2741.6438
191;20280.286;39240;23610;17503;17481;0;3135.937521274034;3769.7758
192;17669.299;37871;22840;16954;16891;0;3757.816032941038;4542.7535
193;5866.342;9502;5813;4287;4251;0;997.2114817821335;1196.1026
194;5333.191;10409;6332;4660;4620;0;942.1398799703151;1129.6589
195;5364.827;12493;7529;5603;5562;0;967.4107143310839;1165.5168
196;523.745;1348;820;627;615;0;434.7642709869382;524.72287
197;19986.898;41262;24839;18417;18384;0;3392.245922006267;4063.3738
198;17402.336;33515;20221;15007;14982;0;2122.049704961399;2547.6022
199;16908.787;31657;19088;14174;14117;0;3421.971185038809;4130.8002
