index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
124;578.092;2214;506;493;432;7;474.763307117845;502.70058
125;446.04;1598;498;478;426;0;353.0236372733321;374.94827
126;84.388;297;101;98;72;0;189.0776628534742;200.92388
127;1462.877;5355;1312;1256;1210;7;450.9291937306945;473.39906
128;290.492;1130;284;271;232;2;318.8283050172018;341.00714
129;556.569;2025;541;523;457;1;386.7783403341895;405.28636
130;498.129;1819;474;450;389;4;375.5659037445698;396.83052
131;525.933;1844;536;513;440;3;254.7789033165724;270.52186
132;405.674;1545;393;375;340;1;360.1186390465332;384.97771
133;183.923;637;216;207;169;0;267.3962227922727;279.92388
134;1361.717;4962;1223;1174;1131;8;488.3816258623485;516.02648
135;19.648;60;27;25;16;0;49.11671641781072;52.769553
136;64.969;231;65;62;46;0;84.08530709162375;91.183766
137;206.875;654;247;237;216;0;177.9804944022345;187.19596
138;224.744;794;251;239;200;0;179.9595619947056;191.92388
139;240.697;970;214;210;180;5;224.7066502528006;241.79394
140;33.005;114;38;35;21;0;70.76051539315287;73.497475
141;66.847;224;88;83;60;0;130.0347594856457;138.46804
142;208.345;620;200;191;150;0;205.4496291436113;216.85281
143;291.884;993;198;193;162;3;144.7907846970013;153.88225
144;561.811;1933;430;419;360;9;478.7222094078819;505.5412
145;31.061;96;29;26;17;0;63.13713746543829;66.497475
146;161.681;519;142;134;112;1;134.9842062032877;142.99495
147;7.261;11;8;6;3;0;10.00867551289684;10.485281
148;487.448;1592;468;451;398;0;360.5181247307423;375.11479
149;516.164;2030;455;441;391;7;390.5177484601433;414.33304
150;1175.287;4193;1062;1011;962;6;411.5041508090989;435.60007
151;211.795;694;225;215;173;0;257.3074962672944;271.19091
152;7.599;8;15;13;6;0;28.30194339616981;30.213203
153;137.454;478;132;124;98;0;201.2342021294571;214.50967
154;209.462;679;230;217;169;0;254.1185985855535;265.17872
155;288.06;1021;247;237;202;2;245.2537828120335;260.35029
156;1334.691;4703;1188;1133;1086;5;398.5663890708921;420.28636
157;61.773;200;83;78;66;0;56.29705854077835;61.284271
158;135.542;487;140;135;103;0;197.8851479835463;212.03658
159;267.675;922;283;270;227;1;231.1481072681887;246.24978
160;173.927;586;169;161;130;0;163.9787868388875;177.3381
161;1069.894;3848;955;909;869;3;371.87050441979;393.24473
162;57.491;204;57;54;42;0;100.1551872695578;106.42641
163;1330.536;4855;1194;1146;1110;6;484.2251711473058;509.29856
164;179.797;620;207;199;171;0;192.0384992701515;205.45079
165;91.363;317;124;119;98;0;125.8197791804535;134.88225
166;157.998;552;183;174;135;0;237.9344123378571;251.6518
167;61.088;216;62;59;40;0;127.311875497068;131.88225
168;14.693;33;28;26;13;0;65.05382386916237;65.053824
169;7.937;9;17;15;7;0;51.78802950489621;54.727922
170;56.574;207;63;60;38;0;141.976682877581;152.15433
171;192.492;682;216;207;165;0;277.5731712822227;292.52186
172;101.107;384;104;100;69;0;263.6667745544113;275.06097
173;534.128;1995;521;505;450;1;390.0652650543302;412.25693
174;43.417;160;55;52;40;0;107.7467261843648;114.19596
175;1193.818;4292;1104;1051;1017;4;420.0489568164394;441.74221
176;348.667;1263;381;367;316;0;275.1406079849817;291.42136
177;532.285;1880;511;491;435;0;359.4717629537514;377.2153
178;70.797;252;80;77;52;0;250.0439946821865;258.81833
179;1259.031;4636;1148;1101;1072;6;449.6722290768867;474.78889
180;1254.562;4527;1140;1088;1055;5;484.2428841052878;512.68333
181;433.436;1687;364;356;312;9;445.7575526705924;467.6417
182;782.803;2955;661;636;591;12;390.3625102837194;413.71782
183;65.282;208;66;63;41;0;69.65597245925116;73.012193
184;14.073;46;17;15;8;0;33.91055250861392;35.041631
185;656.499;2419;648;624;564;0;386.7037186191121;409.54625
186;400;1390;417;402;348;0;297.0047724810036;309.96046
187;209.038;803;183;173;149;0;221.3836394997163;237.39192
188;3.57;1;5;3;2;0;19.23538406167134;20.727922
189;17.809;61;29;27;13;0;82.32860985101109;84.953319
190;64.641;210;89;86;60;0;215.1574476268443;218.64675
191;3.502;2;6;4;2;0;16;16
192;126.935;468;136;130;93;0;239.9539197330242;256.17872
193;11.144;22;18;16;8;0;38.11823710509184;39.242641
194;223.367;817;249;238;206;0;155.7292328169036;166.82338
195;650.356;2449;561;544;492;7;426.3993580689279;452.62951
196;1345.271;4907;1223;1174;1133;6;469.0525291702135;496.87215
197;575.334;2216;510;495;429;7;400.4027542762241;425.54625
198;223.404;779;238;227;188;0;256.8757858615202;268.94827
199;144.814;582;153;145;120;1;160.9371067594825;170.5513
