index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
169;826.632;2633;864;856;728;4;1333.245847005642;1381.2115
170;8.209;1;6;4;2;0;190.3785702225962;205.68124
171;2970.893;8813;2005;1994;1722;9;1325.844478400888;1366.5252
172;4984.689;14292;3222;3208;2990;8;930.0544518745887;968.59206
173;674.958;2243;553;551;462;0;1286.271310551861;1347.8612
174;11.045;3;6;4;2;0;63.69458375717672;68.941125
175;137.104;188;63;61;37;0;567.5814586832003;596.69048
176;1215.897;3865;900;894;814;0;860.6588976075906;918.53824
177;406.386;1434;338;332;221;1;709.0257054854127;737.27121
178;529.827;1593;371;368;240;0;1069.613808882258;1137.9596
179;418.36;1396;362;359;301;0;597.2548476801032;639.73716
180;13.882;17;14;12;8;0;111.7750582019029;118.84062
181;418.312;1034;319;313;235;0;827.911341789474;868.83975
182;1223.791;4509;1016;1012;934;0;1048.796001163864;1112.2784
183;736.634;2317;505;502;409;2;545.9020256058648;584.04372
184;5.122;0;1;0;0;0;21.2602916254693;21.79899
185;8237.748;22037;5312;5275;4809;9;1414.340726305353;1467.2703
186;63.586;115;48;46;23;0;716.5552829743852;727.59798
187;5000.387;14811;3086;3060;2710;3;1368.684499391248;1416.5841
188;98.965;177;131;129;63;0;801.4549269921547;847.12402
189;15.631;37;18;16;8;0;181.1353085403285;183.89949
190;43.914;149;36;34;21;0;735.1715911134283;751.63961
191;72.021;133;142;140;70;0;582.9348162530696;623.50671
192;1133.373;2380;563;561;502;0;1052.363825752897;1096.4571
193;859.007;2859;476;471;398;0;1354.953208905135;1432.6947
194;2393.398;7207;1796;1783;1629;5;760.4646509725366;798.28131
195;502.99;1442;400;395;323;0;1179.599899319442;1223.1749
196;20.443;36;28;26;13;0;263.2299375071156;267.14423
197;1646.302;5686;926;920;827;1;707.7995236573563;754.18795
198;199.585;243;151;149;110;0;292.3345517487891;305.78175
199;1755.88;2280;692;690;564;0;1216.704873619758;1270.447
