exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
57;AnyaSearch;52259;52254;23980;57225;56753;(352,473);(148,14);560.38686828;508.068364616783;random512-20-0.map
58;AnyaSearch;130188;130181;54930;127447;122345;(13,39);(452,495);717.74934997;643.2717627620459;random512-20-0.map
59;AnyaSearch;1714;525;421;1088;1278;(96,293);(119,200);106.28427124;97.0444334507994;random512-20-0.map
60;AnyaSearch;83590;83584;36193;84728;82691;(42,474);(375,48);608.45288543;549.1716514414155;random512-20-0.map
61;AnyaSearch;237045;115977;49994;115692;112042;(9,44);(487,508);760.54833984;675.8591393301141;random512-20-0.map
62;AnyaSearch;2091;2088;1486;3530;3653;(205,399);(436,424);254.91168823;234.3603820538187;random512-20-0.map
63;AnyaSearch;15953;15948;8772;20401;20899;(126,381);(452,178);430.00209198;388.45480840529126;random512-20-0.map
64;AnyaSearch;8204;8199;4950;12114;12559;(237,157);(191,392);263.22539673;242.60392023129117;random512-20-0.map
65;AnyaSearch;33944;33939;16400;38713;39082;(304,463);(8,53);565.41125488;510.72637078551;random512-20-0.map
66;AnyaSearch;9529;9524;5641;12959;13918;(320,487);(501,238);347.98989868;311.6344954498108;random512-20-0.map
67;AnyaSearch;4931;4926;3296;7702;8067;(314,223);(122,71);279.56349182;248.64198129008153;random512-20-0.map
68;AnyaSearch;12912;12907;7397;16943;17614;(261,423);(464,200);341.06096649;305.8320535202443;random512-20-0.map
69;AnyaSearch;38450;38445;18758;43323;44240;(146,501);(481,101);592.89653625;528.4093184378424;random512-20-0.map
70;AnyaSearch;4210;4207;2859;6624;7428;(146,490);(263,302);248.76450195;224.03498448847245;random512-20-0.map
71;AnyaSearch;64664;31883;13780;31570;30972;(78,174);(508,218);469.48023071;437.48121604098776;random512-20-0.map
72;AnyaSearch;1731;553;341;779;927;(81,334);(30,415);109.15432892;97.20527580987394;random512-20-0.map
73;AnyaSearch;5604;5600;2701;6111;6593;(408,220);(464,354);162.95331879;148.8037359289899;random512-20-0.map
74;AnyaSearch;15362;15357;7446;16726;16907;(144,458);(474,428);359.88225098;335.58415056577843;random512-20-0.map
75;AnyaSearch;65263;65258;24806;57372;56079;(451,78);(31,352);567.47012939;509.66008198545353;random512-20-0.map
76;AnyaSearch;9828;9824;4534;11052;11626;(112,283);(189,4);322.89444427;293.4439723208233;random512-20-0.map
77;AnyaSearch;64019;64014;28901;68183;66670;(439,500);(244,21);577.1442276;523.5378881559631;random512-20-0.map
