exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
163;AnyaSearch;2139;289;397;437;827;(322,94);(813,916);1194.07229308;1124.2543120751625;Milan_1_1024.map
164;AnyaSearch;7598;3033;2936;3197;6006;(27,902);(22,1);1324.54538116;1235.6942623740429;Milan_1_1024.map
165;AnyaSearch;3509;222;248;291;537;(730,629);(835,157);517.97770538;491.318288514124;Milan_1_1024.map
166;AnyaSearch;3880;3880;3977;4368;8136;(1017,974);(85,34);1459.16983947;1406.427761462398;Milan_1_1024.map
167;AnyaSearch;2192;69;114;141;254;(1013,366);(61,903);1174.43268279;1093.0248110982757;Milan_1_1024.map
168;AnyaSearch;2366;74;183;284;466;(106,280);(908,828);1028.98903198;971.3433996275468;Milan_1_1024.map
169;AnyaSearch;2416;780;769;886;1631;(16,999);(889,4);1381.21147002;1333.2458470056415;Milan_1_1024.map
170;AnyaSearch;2419;38;2;7;8;(164,662);(102,842);205.68124084;190.3785702225962;Milan_1_1024.map
171;AnyaSearch;2188;2188;1830;2128;3846;(25,1016);(982,147);1366.52517852;1325.8444784008875;Milan_1_1024.map
172;AnyaSearch;2960;2961;3231;3498;6581;(300,556);(972,101);968.59206237;930.0544518745887;Milan_1_1024.map
173;AnyaSearch;1639;523;558;617;1164;(1016,200);(83,1006);1347.86118163;1286.2713105518608;Milan_1_1024.map
174;AnyaSearch;2640;21;10;16;25;(574,707);(633,683);68.94112549;63.694583757176716;Milan_1_1024.map
175;AnyaSearch;2645;86;79;96;174;(897,111);(567,571);596.69047546;567.5814586832003;Milan_1_1024.map
176;AnyaSearch;2671;854;886;964;1826;(37,791);(73,85);918.53823852;860.6588976075906;Milan_1_1024.map
177;AnyaSearch;3089;437;340;420;749;(990,470);(452,893);737.27121124;709.0257054854127;Milan_1_1024.map
178;AnyaSearch;3394;479;363;470;832;(957,7);(397,913);1137.95959472;1069.613808882258;Milan_1_1024.map
179;AnyaSearch;2112;293;328;368;695;(155,638);(104,113);639.73715667;597.2548476801032;Milan_1_1024.map
180;AnyaSearch;1885;33;8;13;20;(244,1004);(138,973);118.84062042;111.77505820190285;Milan_1_1024.map
181;AnyaSearch;1914;258;273;316;585;(942,250);(593,937);868.83975372;827.911341789474;Milan_1_1024.map
182;AnyaSearch;2487;794;1041;1104;2136;(64,623);(856,25);1112.27835388;1048.7960011638643;Milan_1_1024.map
183;AnyaSearch;1810;582;536;604;1128;(896,569);(926,62);584.04372253;545.9020256058648;Milan_1_1024.map
184;AnyaSearch;2137;17;3;7;9;(638,580);(652,596);21.79898987;21.2602916254693;Milan_1_1024.map
185;AnyaSearch;5350;5350;5589;6148;11381;(1012,894);(6,44);1467.27034453;1414.3407263053532;Milan_1_1024.map
186;AnyaSearch;3497;28;22;29;50;(740,796);(24,790);727.59797974;716.5552829743852;Milan_1_1024.map
187;AnyaSearch;3594;3594;3104;3413;6405;(335,68);(974,1023);1416.58405303;1368.6844993912478;Milan_1_1024.map
188;AnyaSearch;5197;62;84;115;198;(684,343);(225,1000);847.12402496;801.4549269921547;Milan_1_1024.map
189;AnyaSearch;2813;22;4;10;13;(273,740);(454,733);183.89949493;181.13530854032848;Milan_1_1024.map
190;AnyaSearch;3696;30;32;40;71;(773,817);(40,772);751.63961029;735.1715911134283;Milan_1_1024.map
191;AnyaSearch;3903;62;103;130;232;(728,297);(425,795);623.50670929;582.9348162530696;Milan_1_1024.map
192;AnyaSearch;1702;573;530;573;1097;(982,227);(165,775);1096.45706939;1052.363825752897;Milan_1_1024.map
193;AnyaSearch;2058;672;656;712;1358;(35,18);(882,955);1432.69465942;1354.9532089051354;Milan_1_1024.map
194;AnyaSearch;1550;1550;1548;1693;3171;(975,491);(434,86);798.28131256;760.4646509725366;Milan_1_1024.map
195;AnyaSearch;1527;500;566;659;1198;(764,166);(34,1019);1223.17489013;1179.5998993194419;Milan_1_1024.map
196;AnyaSearch;2009;32;51;59;109;(576,707);(755,900);267.1442276;263.2299375071156;Milan_1_1024.map
197;AnyaSearch;1017;1017;1247;1320;2549;(299,35);(571,315);754.18795013;707.7995236573563;Milan_1_1024.map
198;AnyaSearch;2318;36;55;67;121;(232,372);(515,339);305.78174591;292.33455174878907;Milan_1_1024.map
199;AnyaSearch;1708;560;545;636;1173;(26,848);(930,51);1270.44696807;1216.704873619758;Milan_1_1024.map
