exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
84;AStar;3419;3419;5513;41495;14717;(54,207);(154,124);195.50966797;195.5096664428711;AR0500SR.map;
85;AStar;3227;3226;6495;48772;18768;(311,54);(103,229);312.06096649;310.0609630346298;AR0500SR.map;
86;AStar;2174;128;494;3615;1634;(185,179);(225,53);149.29646454;147.88224983215332;AR0500SR.map;
87;AStar;2391;2391;4753;36544;12432;(160,88);(25,229);262.16652222;261.3380935192108;AR0500SR.map;
88;AStar;2977;1;10;73;42;(177,182);(186,182);9.0;9.0;AR0500SR.map;
89;AStar;3453;3453;7458;55433;21617;(302,181);(47,277);471.88434295;467.8843377828598;AR0500SR.map;
90;AStar;2481;804;1555;11892;4404;(71,296);(20,229);106.81118317;105.39696860313416;AR0500SR.map;
91;AStar;1530;1530;4321;31180;11508;(254,159);(208,123);237.76450195;232.35028612613678;AR0500SR.map;
92;AStar;3075;6;35;273;160;(57,301);(23,310);37.72792206;37.72792184352875;AR0500SR.map;
93;AStar;3922;31;160;1174;505;(159,139);(171,179);45.79898987;45.79898953437805;AR0500SR.map;
94;AStar;9715;9714;18141;134094;43928;(299,195);(262,210);490.41630554;481.0020879507065;AR0500SR.map;
95;AStar;1689;536;1056;8139;3561;(210,48);(101,256);259.77669525;259.7766922712326;AR0500SR.map;
96;AStar;1476;1475;1855;13872;5127;(186,185);(221,120);110.87005768;108.04163014888763;AR0500SR.map;
97;AStar;8630;8628;12148;90371;32659;(260,163);(213,274);433.93102417;426.7594473361969;AR0500SR.map;
98;AStar;2859;183;385;2797;1295;(233,87);(304,63);90.05382385;90.0538227558136;AR0500SR.map;
99;AStar;3072;3;11;81;46;(77,184);(67,184);10.0;10.0;AR0500SR.map;
100;AStar;7880;7877;11873;89084;36572;(290,153);(17,215);511.17366485;505.17366087436676;AR0500SR.map;
101;AStar;6036;6034;9080;69640;25767;(259,32);(129,195);248.22034607;246.46298396587372;AR0500SR.map;
102;AStar;12529;12527;23059;171562;58790;(108,260);(303,194);418.38686828;414.3868639469147;AR0500SR.map;
103;AStar;13026;13024;21459;161636;61064;(8,295);(274,118);424.38686828;421.80107748508453;AR0500SR.map;
104;AStar;14231;14227;24844;185723;62759;(96,261);(230,161);389.73001404;386.55843687057495;AR0500SR.map;
105;AStar;2773;2769;5099;39095;15698;(105,257);(267,27);302.37467499;301.20309841632843;AR0500SR.map;
106;AStar;1613;503;1405;10741;4650;(307,65);(168,87);157.22539673;157.22539567947388;AR0500SR.map;
107;AStar;2619;10;42;329;202;(142,128);(183,144);47.62741699;47.62741661071777;AR0500SR.map;
108;AStar;3651;3651;7422;55380;20490;(299,72);(200,178);221.16652222;217.75230705738068;AR0500SR.map;
109;AStar;14201;14201;24410;182356;65536;(44,308);(263,149);426.05591583;422.6416971683502;AR0500SR.map;
110;AStar;2519;798;1543;11792;4450;(35,285);(55,223);99.29646454;96.46803629398346;AR0500SR.map;
111;AStar;2197;17;73;562;300;(159,91);(209,75);56.62741699;56.62741661071777;AR0500SR.map;
112;AStar;13160;13160;22648;168628;56777;(111,240);(231,155);358.4457428;355.8599525690079;AR0500SR.map;
113;AStar;6848;6848;13654;102079;39300;(307,171);(86,174);440.11479034;435.5289993286133;AR0500SR.map;
114;AStar;3216;12;52;409;286;(23,237);(74,199);66.74011536;66.74011445045471;AR0500SR.map;
115;AStar;14036;14036;27010;201329;75560;(3,289);(255,158);517.78383789;513.7838325500488;AR0500SR.map;
116;AStar;2304;9;38;274;179;(290,96);(310,59);45.28427124;45.28427076339722;AR0500SR.map;
117;AStar;1723;1723;2796;21104;8699;(190,149);(96,192);134.7228714;134.722869515419;AR0500SR.map;
118;AStar;1074;1074;1930;14801;5870;(69,198);(39,291);130.48023071;128.48022890090942;AR0500SR.map;
119;AStar;14914;14913;26844;199878;73917;(15,242);(275,186);505.28636322;499.2863587141037;AR0500SR.map;
120;AStar;2415;146;440;3302;1748;(84,282);(220,64);274.33304443;274.3330411911011;AR0500SR.map;
121;AStar;2324;318;712;5385;2023;(176,154);(220,124);75.55634918;73.55634891986847;AR0500SR.map;
122;AStar;2281;726;1735;12094;4772;(221,205);(224,86);221.58073578;216.40916121006012;AR0500SR.map;
123;AStar;2583;20;77;585;436;(58,274);(134,202);105.82337646;105.82337474822998;AR0500SR.map;
124;AStar;5333;5333;11119;83652;32989;(281,192);(11,248);502.70057678;497.2863587141037;AR0500SR.map;
125;AStar;6797;6797;11129;83323;32440;(12,240);(292,107);374.94826813;372.11983811855316;AR0500SR.map;
126;AStar;1988;641;1722;13479;5413;(5,250);(179,187);200.92388153;200.09545290470123;AR0500SR.map;
127;AStar;14737;14736;29300;218458;75863;(76,275);(292,152);473.39906158;469.39905655384064;AR0500SR.map;
128;AStar;1560;1560;3437;24350;9822;(243,246);(237,3);341.00714264;335.59292674064636;AR0500SR.map;
129;AStar;9404;9404;13900;106327;39246;(17,278);(282,35);405.28636322;403.2863587141037;AR0500SR.map;
130;AStar;7187;7187;12518;95452;35477;(231,15);(7,274);396.8305191;396.24472856521606;AR0500SR.map;
131;AStar;6792;6792;11384;85968;34677;(235,48);(215,241);270.52186127;266.52185904979706;AR0500SR.map;
132;AStar;3177;3176;6229;44721;16724;(262,201);(292,85);384.97770538;377.5634891986847;AR0500SR.map;
133;AStar;2341;2341;4748;36431;12374;(157,80);(14,223);279.92388153;279.09545290470123;AR0500SR.map;
134;AStar;29630;13372;26895;200452;75195;(5,272);(251,161);516.02647857;512.0264731645584;AR0500SR.map;
135;AStar;2714;42;200;1463;685;(203,99);(245,109);52.76955261;51.94112491607666;AR0500SR.map;
136;AStar;3212;209;701;5109;2180;(233,144);(159,127);91.18376617;89.76955199241638;AR0500SR.map;
137;AStar;3751;3751;6090;46047;16689;(22,236);(146,178);187.19595947;185.78174459934235;AR0500SR.map;
138;AStar;3123;3123;4782;35751;13202;(100,205);(221,122);191.92388153;189.92387998104095;AR0500SR.map;
139;AStar;1019;1019;2617;18780;7690;(242,147);(138,126);241.79393921;240.37972366809845;AR0500SR.map;
140;AStar;2177;17;79;554;345;(228,30);(193,89);73.49747467;73.49747383594513;AR0500SR.map;
141;AStar;2108;271;756;5233;2328;(135,201);(187,99);138.46803741;137.0538227558136;AR0500SR.map;
142;AStar;2965;2965;4324;32862;12590;(220,129);(72,213);216.85281372;214.85281229019165;AR0500SR.map;
143;AStar;1176;1175;2888;21297;8888;(289,105);(178,148);153.88225098;151.88224983215332;AR0500SR.map;
144;AStar;3608;3608;7597;56519;21728;(291,154);(42,280);505.5411972;501.54119193553925;AR0500SR.map;
145;AStar;3267;13;67;478;303;(79,252);(29,289);66.49747467;66.49747383594513;AR0500SR.map;
146;AStar;2033;633;1440;9769;3831;(219,239);(147,209);142.99494934;141.23758828639984;AR0500SR.map;
147;AStar;3547;2;9;58;45;(225,150);(233,144);10.48528137;10.485281229019165;AR0500SR.map;
148;AStar;6161;6161;9963;74679;28405;(52,296);(303,74);375.11479034;373.1147857904434;AR0500SR.map;
149;AStar;5015;5014;10564;79435;31330;(247,140);(26,227);414.33304443;410.9188276529312;AR0500SR.map;
150;AStar;12795;12794;24419;182105;61978;(99,260);(305,209);435.60007171;430.4284940958023;AR0500SR.map;
151;AStar;2748;2747;4600;34707;13553;(59,185);(234,73);271.19090881;270.0193328857422;AR0500SR.map;
152;AStar;2477;5;25;193;132;(104,208);(80,193);30.21320343;30.213203072547913;AR0500SR.map;
153;AStar;2097;664;1514;10861;4434;(214,272);(42,224);214.50966797;211.68123936653137;AR0500SR.map;
154;AStar;3277;3277;6375;49104;18331;(221,80);(42,221);265.17871551;264.3502861261368;AR0500SR.map;
155;AStar;2813;2813;5673;42806;16212;(283,95);(106,220);260.35028839;258.3502861261368;AR0500SR.map;
156;AStar;12923;12922;26991;201241;69248;(93,260);(255,157);420.28636322;416.2863587141037;AR0500SR.map;
157;AStar;1700;534;1254;9337;3441;(168,190);(138,187);61.28427124;59.870057225227356;AR0500SR.map;
158;AStar;1680;1680;3732;28489;11386;(141,191);(214,53);212.03657989;210.0365778207779;AR0500SR.map;
159;AStar;3028;3028;5741;43137;17018;(214,125);(109,288);246.24978332;242.83556735515594;AR0500SR.map;
160;AStar;2461;2461;4221;32086;13840;(195,103);(189,245);177.33809509;174.75230705738068;AR0500SR.map;
161;AStar;10105;10104;21689;161632;56952;(112,287);(259,146);393.24473266;389.24472856521606;AR0500SR.map;
162;AStar;2567;353;917;6908;2717;(145,171);(204,106);106.42640686;105.25483322143555;AR0500SR.map;
163;AStar;12994;12994;26782;199598;74608;(7,280);(251,163);509.29855652;505.8843377828598;AR0500SR.map;
164;AStar;2529;2528;4246;31783;12543;(66,179);(219,265);205.45079346;203.45079135894775;AR0500SR.map;
165;AStar;1449;1449;2821;21477;9676;(41,185);(141,180);134.88225098;134.88224983215332;AR0500SR.map;
166;AStar;2663;2663;5420;41870;15242;(188,95);(31,231);251.65180359;250.82337474822998;AR0500SR.map;
167;AStar;2697;370;1147;8759;3686;(303,59);(191,89);131.88225098;131.88224983215332;AR0500SR.map;
168;AStar;2560;10;47;369;280;(70,188);(24,234);65.05382385;65.0538227558136;AR0500SR.map;
169;AStar;2748;10;52;409;228;(60,199);(111,208);54.72792206;54.72792184352875;AR0500SR.map;
170;AStar;2306;752;2343;18355;7674;(154,107);(290,82);152.15432892;151.32590091228485;AR0500SR.map;
171;AStar;2242;2242;3952;29771;11932;(80,213);(225,13);292.52186127;292.52185904979706;AR0500SR.map;
172;AStar;2199;294;900;6757;3152;(225,91);(67,293);275.06096649;273.88939011096954;AR0500SR.map;
173;AStar;8189;8190;13446;102823;38289;(11,268);(278,31);412.25692596;409.6883796453476;AR0500SR.map;
174;AStar;2092;288;651;4915;2047;(104,220);(25,288);114.19595947;114.1959581375122;AR0500SR.map;
175;AStar;13062;13062;24933;186262;67332;(28,300);(247,140);441.74220733;439.15641593933105;AR0500SR.map;
176;AStar;4501;4500;7759;58118;22543;(76,200);(282,98);291.4213562;289.4213538169861;AR0500SR.map;
177;AStar;7241;7241;11716;88337;32887;(55,277);(298,49);377.21529541;375.2152910232544;AR0500SR.map;
178;AStar;3877;116;456;3500;1830;(207,95);(65,295);258.8183258;258.81832242012024;AR0500SR.map;
179;AStar;13409;13409;26176;195123;72917;(8,218);(259,170);474.78888855;469.96045780181885;AR0500SR.map;
180;AStar;13273;13272;26089;194501;71774;(17,292);(307,182);512.68333282;508.68332731723785;AR0500SR.map;
181;AStar;2065;2065;5647;41374;16139;(292,162);(70,275);467.64170227;463.0559107065201;AR0500SR.map;
182;AStar;7218;7218;14678;109386;37481;(300,198);(216,207);413.71782074;406.3036036491394;AR0500SR.map;
183;AStar;2144;133;493;3643;1579;(157,212);(97,192);73.0121933;71.5979790687561;AR0500SR.map;
184;AStar;2202;9;46;325;192;(289,53);(274,25);35.04163055;35.041630148887634;AR0500SR.map;
185;AStar;9813;9813;15851;120117;45697;(11,267);(290,64);409.54624786;405.546244263649;AR0500SR.map;
186;AStar;4259;4258;8154;61107;23140;(79,266);(282,84);309.96046142;307.96045780181885;AR0500SR.map;
187;AStar;2165;692;1701;11533;4894;(221,208);(82,260);237.39191894;233.97770273685455;AR0500SR.map;
