exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
70;AnyaSearch;3723;119;25;43;67;(157,213);(182,122);103.59797974;95.16441361829182;AR0500SR.map
71;AnyaSearch;2742;2740;1628;1703;3278;(94,267);(289,149);462.18585815;436.6983405404873;AR0500SR.map
72;AnyaSearch;2909;183;105;125;229;(171,220);(71,297);152.37972565;145.77102299984324;AR0500SR.map
73;AnyaSearch;1893;261;123;148;270;(138,191);(209,101);160.92388153;150.90092215884067;AR0500SR.map
74;AnyaSearch;2156;304;171;200;370;(188,181);(271,79);183.0243866;173.490389610619;AR0500SR.map
75;AnyaSearch;2475;2473;1445;1513;2920;(87,258);(254,159);420.94321747;400.425308546216;AR0500SR.map
76;AnyaSearch;2579;846;522;558;1077;(106,209);(259,199);239.69343414;226.435983655669;AR0500SR.map
77;AnyaSearch;2905;2902;1644;1721;3310;(40,281);(287,149);514.61226501;487.0552160349022;AR0500SR.map
78;AnyaSearch;1684;1682;1034;1110;2103;(293,187);(255,232);457.61731567;427.8140319039615;AR0500SR.map
79;AnyaSearch;2148;2146;1406;1464;2832;(19,313);(303,176);520.21024475;495.54911699696913;AR0500SR.map
80;AnyaSearch;6140;191;206;222;427;(10,259);(179,136);244.20815277;230.66479675671994;AR0500SR.map
81;AnyaSearch;2811;44;32;45;76;(80,276);(128,210);85.88225098;81.60882305241266;AR0500SR.map
82;AnyaSearch;3435;106;118;140;254;(262,83);(174,174);166.78174591;157.80868860519786;AR0500SR.map
83;AnyaSearch;2304;141;157;188;340;(175,135);(5,299);259.60512237;247.8813592641072;AR0500SR.map
84;AnyaSearch;2722;162;192;212;403;(54,207);(154,124);195.50966797;185.895020508414;AR0500SR.map
85;AnyaSearch;2248;292;383;431;795;(311,54);(103,229);312.06096649;295.9239078523942;AR0500SR.map
86;AnyaSearch;2728;87;60;78;137;(185,179);(225,53);149.29646454;141.35120049045898;AR0500SR.map
87;AnyaSearch;2353;142;163;193;353;(160,88);(25,229);262.16652222;249.13164902127605;AR0500SR.map
88;AnyaSearch;3670;28;2;5;6;(177,182);(186,182);9.0;9.0;AR0500SR.map
89;AnyaSearch;1747;591;570;641;1182;(302,181);(47,277);471.88434295;447.0760470759648;AR0500SR.map
90;AnyaSearch;2427;67;51;62;112;(71,296);(20,229);106.81118317;99.64837534450493;AR0500SR.map
91;AnyaSearch;2314;302;392;435;801;(254,159);(208,123);237.76450195;221.91256455399537;AR0500SR.map
92;AnyaSearch;3778;30;2;5;6;(57,301);(23,310);37.72792206;35.17101079013795;AR0500SR.map
93;AnyaSearch;2476;38;22;27;48;(159,139);(171,179);45.79898987;44.04948524376262;AR0500SR.map
94;AnyaSearch;1354;1354;1211;1310;2448;(299,195);(262,210);490.41630554;459.90190849156966;AR0500SR.map
95;AnyaSearch;4139;123;133;165;297;(210,48);(101,256);259.77669525;246.77076982873618;AR0500SR.map
96;AnyaSearch;3129;97;88;108;195;(186,185);(221,120);110.87005768;105.52084406296632;AR0500SR.map
97;AnyaSearch;2725;994;710;768;1452;(260,163);(213,274);433.93102417;403.1477607410918;AR0500SR.map
98;AnyaSearch;3772;60;59;72;130;(233,87);(304,63);90.05382385;85.4916638620405;AR0500SR.map
99;AnyaSearch;3479;27;2;6;7;(77,184);(67,184);10.0;10.0;AR0500SR.map
100;AnyaSearch;2011;673;649;718;1334;(290,153);(17,215);511.17366485;483.06534880540704;AR0500SR.map
101;AnyaSearch;2693;390;333;381;704;(259,32);(129,195);248.22034607;235.0802572667081;AR0500SR.map
102;AnyaSearch;1381;1381;1228;1289;2489;(108,260);(303,194);418.38686828;394.22151722125375;AR0500SR.map
103;AnyaSearch;1083;1082;934;1001;1902;(8,295);(274,118);424.38686828;401.40247761966145;AR0500SR.map
104;AnyaSearch;1445;1444;1288;1343;2596;(96,261);(230,161);389.73001404;369.3461101402512;AR0500SR.map
105;AnyaSearch;3578;218;238;277;514;(105,257);(267,27);302.37467499;287.2371008466211;AR0500SR.map
106;AnyaSearch;3804;60;58;65;122;(307,65);(168,87);157.22539673;149.84404669940085;AR0500SR.map
107;AnyaSearch;2028;31;14;17;30;(142,128);(183,144);47.62741699;44.01136216933077;AR0500SR.map
108;AnyaSearch;1643;509;531;582;1089;(299,72);(200,178);221.16652222;210.01522725226266;AR0500SR.map
109;AnyaSearch;1345;1344;1273;1332;2571;(44,308);(263,149);426.05591583;408.9718658768034;AR0500SR.map
110;AnyaSearch;3112;96;86;103;188;(35,285);(55,223);99.29646454;92.63333446324869;AR0500SR.map
111;AnyaSearch;3743;29;4;10;13;(159,91);(209,75);56.62741699;52.49761899362675;AR0500SR.map
112;AnyaSearch;1837;1837;1238;1290;2498;(111,240);(231,155);358.4457428;339.297237653616;AR0500SR.map
113;AnyaSearch;2350;769;771;843;1581;(307,171);(86,174);440.11479034;414.97738090613814;AR0500SR.map
114;AnyaSearch;2673;41;24;36;59;(23,237);(74,199);66.74011536;63.60031446463138;AR0500SR.map
115;AnyaSearch;1612;1611;1471;1551;2972;(3,289);(255,158);517.78383789;489.8516400564784;AR0500SR.map
116;AnyaSearch;2331;37;12;19;30;(290,96);(310,59);45.28427124;42.10028430850614;AR0500SR.map
117;AnyaSearch;2060;135;154;172;323;(190,149);(96,192);134.7228714;130.13093418722;AR0500SR.map
118;AnyaSearch;3487;111;112;127;238;(69,198);(39,291);130.48023071;124.32943289791066;AR0500SR.map
119;AnyaSearch;1648;1647;1494;1571;3014;(15,242);(275,186);505.28636322;475.97691726757137;AR0500SR.map
120;AnyaSearch;2762;169;168;204;371;(84,282);(220,64);274.33304443;260.55263477951195;AR0500SR.map
121;AnyaSearch;7519;63;49;63;111;(176,154);(220,124);75.55634918;70.8512803480968;AR0500SR.map
