exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
67;AStar;84812;84807;62758;493762;180383;(592,167);(89,874);1210.0945877;1205.5087900161743;Milan_1_1024.map;
68;AStar;5002;4999;5911;47050;18016;(327,765);(357,505);273.59797974;272.4264061450958;Milan_1_1024.map;
69;AStar;193472;193458;145670;1155394;440192;(962,689);(41,114);1400.77792052;1396.4347579479218;Milan_1_1024.map;
70;AStar;17398;17391;15857;125990;48589;(343,969);(611,298);782.00923462;782.0092282295227;Milan_1_1024.map;
71;AStar;3717;116;168;1337;874;(655,638);(488,538);208.4213562;208.42135381698608;Milan_1_1024.map;
72;AStar;1847799;943351;421151;3337721;1246476;(421,828);(591,180);1039.52604522;1038.1118214130402;Milan_1_1024.map;
73;AStar;13923;13918;10753;83086;31150;(240,215);(345,904);893.75440063;890.9259679317474;Milan_1_1024.map;
74;AStar;3149;24;37;289;194;(621,739);(585,761);45.11269836;45.11269783973694;Milan_1_1024.map;
75;AStar;3450;438;571;4561;2714;(324,944);(110,374);658.64170227;658.6416971683502;Milan_1_1024.map;
76;AStar;18503;18499;19748;156307;60626;(920,552);(12,391);988.87214966;986.8721451759338;Milan_1_1024.map;
77;AStar;66751;66747;38368;304243;114722;(954,95);(298,724);947.00122527;945.8296386003494;Milan_1_1024.map;
78;AStar;149579;149572;87882;697726;264959;(143,852);(835,55);1111.75353393;1111.7535185813904;Milan_1_1024.map;
79;AStar;2894;22;41;321;190;(635,420);(647,380);44.97056274;44.97056245803833;Milan_1_1024.map;
80;AStar;2912;2911;2153;16960;6481;(901,398);(987,492);142.50966797;141.92387998104095;Milan_1_1024.map;
81;AStar;499859;499853;197826;1569003;705778;(520,959);(446,24);1077.18080749;1074.3523740768433;Milan_1_1024.map;
82;AStar;85116;85108;47786;377173;140037;(378,100);(194,579);716.19300079;712.4356343746185;Milan_1_1024.map;
83;AStar;2212;126;200;1590;927;(185,995);(121,796);226.09545441;225.5096664428711;Milan_1_1024.map;
84;AStar;239883;239877;133514;1055959;392862;(10,42);(928,881);1452.95663604;1450.3708305358887;Milan_1_1024.map;
85;AStar;136511;136505;113111;901895;349594;(289,804);(927,520);772.03867187;770.8670928478241;Milan_1_1024.map;
86;AStar;3565;467;538;4124;2061;(219,609);(422,817);304.38686828;303.80107748508453;Milan_1_1024.map;
87;AStar;2962;46;83;657;356;(783,711);(772,629);86.55634918;86.55634891986847;Milan_1_1024.map;
88;AStar;23831;23829;16693;129733;57600;(393,193);(29,178);433.17366485;433.17366087436676;Milan_1_1024.map;
89;AStar;3138;397;457;3649;2688;(696,511);(240,940);633.6976181;633.6976078748703;Milan_1_1024.map;
90;AStar;40857;40853;39703;316926;120272;(40,904);(281,459);548.34018707;547.168608546257;Milan_1_1024.map;
91;AStar;3055;3052;3387;26681;10618;(461,492);(773,387);355.49242401;355.4924215078354;Milan_1_1024.map;
92;AStar;61832;61827;46110;363362;149596;(267,104);(154,724);766.39401092;764.3940042257309;Milan_1_1024.map;
93;AStar;93864;93858;53316;417279;155013;(572,419);(435,84);548.72496338;546.1391710042953;Milan_1_1024.map;
94;AStar;2885;376;484;3865;2346;(238,951);(721,747);567.49956665;567.4995617866516;Milan_1_1024.map;
95;AStar;98862;98855;56970;453737;172261;(15,1017);(895,122);1281.7678192;1280.0104397535324;Milan_1_1024.map;
96;AStar;2904;2900;2769;21797;9377;(107,1010);(411,499);636.92092285;636.9209156036377;Milan_1_1024.map;
97;AStar;1191;1189;963;7410;3626;(575,644);(795,268);467.12698364;467.1269783973694;Milan_1_1024.map;
98;AStar;1158316;568545;330611;2616052;1071061;(849,1021);(536,15);1267.19805145;1264.369619011879;Milan_1_1024.map;
99;AStar;85073;85067;48596;387328;149919;(87,1010);(997,2);1403.093721;1401.9221271276474;Milan_1_1024.map;
