index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
147;922.626;960;525;522;448;0;938.0295037230128;989.60931
148;18.894;8;16;14;9;0;37.19770831971383;40.041631
149;46.004;32;38;36;14;0;499.6905587567875;535.28131
150;350.482;339;219;215;144;0;947.2835784266042;984.95959
151;292.135;312;177;175;130;0;1113.17197421915;1157.7069
152;39.315;34;18;16;7;0;594.7116340894156;643.68333
153;973.812;1041;460;454;366;0;639.3856801839994;683.03362
154;5972.339;5997;2974;2954;2601;15;1159.54505177492;1220.8204
155;16.517;6;13;11;4;0;321.8105032468642;338.11479
156;32.002;6;47;45;6;0;122.065556157337;128.99495
157;809.939;845;416;411;335;0;973.0150507550437;1015.7372
158;2692.34;2665;1344;1338;1166;4;1110.341405549114;1183.0479
159;177.938;156;85;82;66;0;1327.799688931066;1422.6286
160;248.527;234;131;129;88;0;1019.654367040412;1075.4032
161;24.02;17;17;15;6;0;386.746687122204;417.53405
162;17.541;6;17;15;5;0;171.0305881441602;175.97771
163;402.938;433;193;188;141;0;1124.254312075162;1194.0723
164;3375.116;3407;1651;1631;1333;12;1235.694262374043;1324.5454
165;289.445;246;179;176;114;0;491.318288514124;517.97771
166;3999.591;3876;2127;2111;1739;10;1406.427761462398;1459.1698
167;83.483;54;75;72;21;0;1093.024811098276;1174.4327
168;144.723;54;189;187;34;0;971.3433996275468;1028.989
169;784.781;748;551;548;424;14;1333.245847005642;1381.2115
170;7.244;0;5;3;1;0;190.3785702225962;205.68124
171;2330.8;2267;1263;1254;965;10;1325.844478400888;1366.5252
172;3600.641;3561;1834;1822;1611;8;930.0544518745887;968.59206
173;562.674;557;320;313;233;0;1286.271310551861;1347.8612
174;7.642;0;5;3;1;0;63.69458375717672;68.941125
175;54.658;42;42;40;13;0;567.5814586832003;596.69048
176;1036.708;1006;565;557;456;0;860.6588976075906;918.53824
177;424.467;409;270;264;147;1;709.0257054854127;737.27121
178;372.865;337;220;218;99;0;1069.613808882258;1137.9596
179;344.964;345;211;203;152;0;597.2548476801032;639.73716
180;17.98;10;14;12;7;0;111.7750582019029;118.84062
181;306.222;281;201;198;133;0;827.911341789474;868.83975
182;1098.975;1173;623;619;533;0;1048.796001163864;1112.2784
183;590.273;636;323;317;229;0;545.9020256058648;584.04372
184;4.295;0;1;0;0;0;21.2602916254693;21.79899
185;6209.176;5783;3303;3283;2855;10;1414.340726305353;1467.2703
186;62.479;35;48;46;14;0;716.5552829743852;727.59798
187;3960.516;3817;2011;1996;1641;6;1368.684499391248;1416.5841
188;77.424;36;91;89;16;0;801.4549269921547;847.12402
189;18.417;7;15;13;3;0;181.1353085403285;183.89949
190;56.027;46;37;35;14;0;735.1715911134283;751.63961
191;65.017;21;80;78;12;0;582.9348162530696;623.50671
192;621.123;616;336;331;267;0;1052.363825752897;1096.4571
193;629.135;613;345;340;256;0;1354.953208905135;1432.6947
194;2022.682;1895;1103;1093;939;6;760.4646509725366;798.28131
195;400.807;411;255;251;184;0;1179.599899319442;1223.1749
196;21.366;8;18;16;6;0;263.2299375071156;267.14423
197;1264.315;1322;540;533;447;1;707.7995236573563;754.18795
198;128.668;81;104;102;60;0;292.3345517487891;305.78175
199;630.782;628;442;439;315;0;1216.704873619758;1270.447
