exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map;
109;AStar;92412;92411;131692;789847;309830;(82,238);(4,484);2492.53109588;2170.261097073555;maze512-2-5.map;
110;AStar;118683;118680;163324;978798;389004;(23,454);(498,179);3011.76868591;2594.309867501259;maze512-2-5.map;
111;AStar;88233;88231;121853;730890;288403;(109,511);(205,161);2126.16356353;1846.1950817108154;maze512-2-5.map;
112;AStar;36704;36703;55740;334515;132355;(372,334);(418,219);1245.60007171;1067.1219260692596;maze512-2-5.map;
113;AStar;70155;70153;125422;752607;296884;(499,54);(73,27);4612.68246612;4005.9587049484253;maze512-2-5.map;
114;AStar;39592;39591;57064;342468;135897;(425,313);(323,116);1579.29855652;1366.7615352869034;maze512-2-5.map;
115;AStar;380583;198508;242507;1453885;573710;(375,364);(37,7);3786.67532348;3266.1698200702667;maze512-2-5.map;
116;AStar;39739;39733;62617;376003;148325;(366,5);(218,245);2531.40115356;2195.7585709095;maze512-2-5.map;
117;AStar;16279;16274;26233;157430;62249;(34,399);(254,410);1542.36962433;1331.690467596054;maze512-2-5.map;
118;AStar;106168;106166;131398;788728;314142;(48,176);(488,262);2716.71486206;2339.8002010583878;maze512-2-5.map;
119;AStar;2933;2930;4147;25013;10104;(277,382);(327,424);291.25483398;250.81118214130402;maze512-2-5.map;
120;AStar;70202;70199;94038;564565;222363;(79,251);(52,335);2101.74934997;1824.7098004817963;maze512-2-5.map;
121;AStar;88916;88912;112847;677588;268209;(14,92);(421,331);3129.0823944;2702.4520028829575;maze512-2-5.map;
122;AStar;162932;162903;216537;1298769;510238;(466,131);(192,262);4668.86623229;4076.083595395088;maze512-2-5.map;
123;AStar;51596;51592;79363;476361;187172;(176,112);(74,116);2523.15851287;2180.9301438331604;maze512-2-5.map;
124;AStar;63216;63211;91748;550767;215714;(157,118);(92,326);2554.05800781;2228.557560443878;maze512-2-5.map;
