exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
93;AStar;14872;14872;18113;122202;50816;(85,152);(431,452);522.64170227;484.3229365348816;random512-20-0.map;
94;AStar;13654;13653;19558;133838;55597;(26,485);(314,72);564.51175995;534.0508583784103;random512-20-0.map;
95;AStar;2191;2191;2951;20122;9109;(142,58);(134,315);277.91168823;266.6984843015671;random512-20-0.map;
96;AStar;2064;655;1150;7957;3901;(324,144);(202,483);402.22034607;390.11983811855316;random512-20-0.map;
97;AStar;7222;7222;10682;72642;30476;(349,65);(159,345);383.88939361;361.0437180995941;random512-20-0.map;
98;AStar;2405;2405;3658;25431;11324;(356,81);(452,416);380.27922058;374.76449966430664;random512-20-0.map;
99;AStar;44237;17176;23715;160275;66549;(87,159);(483,489);586.239682;544.991983294487;random512-20-0.map;
100;AStar;2497;796;1465;10146;4537;(316,214);(349,374);180.3969696;173.6690467596054;random512-20-0.map;
101;AStar;10158;10157;10973;74628;31196;(247,83);(510,373);440.5290039;410.06810331344604;random512-20-0.map;
102;AStar;7403;7403;10526;71690;30405;(319,449);(25,235);410.17366485;384.9848430156708;random512-20-0.map;
103;AStar;21938;21937;29430;199228;82225;(18,501);(510,143);689.73715667;645.803165435791;random512-20-0.map;
104;AStar;22768;22768;31878;216116;89226;(510,440);(8,102);688.42344818;649.1757488250732;random512-20-0.map;
105;AStar;19818;19817;22023;149893;62098;(62,442);(477,51);639.05086517;595.70266020298;random512-20-0.map;
106;AStar;2872;86;258;1685;928;(383,312);(262,358);143.81118317;140.0538227558136;random512-20-0.map;
107;AStar;13863;13863;17410;117881;49071;(435,401);(54,70);575.31074981;534.5483322143555;random512-20-0.map;
108;AStar;2260;311;516;3533;1686;(340,204);(407,204);74.55634918;71.14213538169861;random512-20-0.map;
109;AStar;2718;2718;3903;26684;11346;(240,315);(74,450);243.83556976;226.0193328857422;random512-20-0.map;
110;AStar;2830;2830;4508;30584;13884;(389,71);(277,459);446.00714264;435.22034335136414;random512-20-0.map;
111;AStar;20934;20934;31515;215980;90902;(407,46);(176,507);577.42849884;557.8549002408981;random512-20-0.map;
112;AStar;5050;5048;8454;58181;25804;(41,469);(503,295);548.61731567;534.0731556415558;random512-20-0.map;
113;AStar;1559;1559;2564;17435;8273;(404,485);(229,37);537.1320343;521.6589421033859;random512-20-0.map;
114;AStar;1270;1269;2116;14334;6623;(427,203);(355,453);288.16652222;279.82337474823;random512-20-0.map;
115;AStar;2845;384;532;3631;1627;(244,91);(289,142);77.84062042;73.15432798862457;random512-20-0.map;
116;AStar;26141;26141;34652;235599;97128;(510,55);(3,443);712.47727203;673.5727174282074;random512-20-0.map;
117;AStar;26587;26585;27608;186022;76880;(507,436);(91,30);658.5655838;610.5310872793198;random512-20-0.map;
118;AStar;1318;1316;2364;16332;7124;(395,222);(433,44);201.0121933;194.32590091228485;random512-20-0.map;
119;AStar;15743;15742;16543;112692;46992;(127,386);(500,9);591.83766174;550.8326029777527;random512-20-0.map;
120;AStar;2180;2179;2957;20244;9010;(404,148);(417,401);270.91168823;261.6984843015671;random512-20-0.map;
121;AStar;1226;1225;2522;17410;7629;(359,0);(203,75);194.68124084;187.6518018245697;random512-20-0.map;
122;AStar;27510;27509;30239;205678;85128;(85,468);(511,5);705.64884491;659.3717069625854;random512-20-0.map;
123;AStar;1102;1101;1745;12021;5313;(188,275);(341,301);171.76955261;164.35533845424652;random512-20-0.map;
124;AStar;2749;168;510;3459;1657;(375,346);(485,311);127.32590179;124.49747383594513;random512-20-0.map;
125;AStar;3147;6;20;144;95;(263,313);(270,294);23.3137085;21.899494767189026;random512-20-0.map;
126;AStar;2202;17;61;399;231;(375,289);(336,281);43.14213562;42.31370830535889;random512-20-0.map;
127;AStar;2204;298;746;5052;2487;(126,9);(306,73);214.7106781;206.5096664428711;random512-20-0.map;
128;AStar;1422;1422;2336;15929;7453;(349,422);(217,70);416.77669525;406.67618703842163;random512-20-0.map;
