time
1009
11827
36
9379
947
1199
5131
2954
1720
7356
10450
3256
1112
8
127
12413
247
389
4271
929
11
114
3123
1544
1013
7604
8900
1721
1793
3207
1750
142
1940
12100
4280
400
1154
18
6489
740
1
1992
10755
2153
8019
7762
8546
9630
6366
356
947
1358
61
6018
1423
5312
788
7347
10853
103
7868
13482
671
3172
905
5573
2036
1377
2007
8200
861
2628
152
371
1338
6123
1429
5993
8853
307
3728
2542
714
1978
4214
11581
1
876
1025
578
3601
9883
4931
6742
7240
721
2082
3452
1127
9055
460
4034
3638
12018
10905
9229
204
7515
91
1286
4507
7904
4833
5170
1126
92
10256
10507
517
7410
666
538
11296
344
141
7
11
523
4411
6334
11409
10563
23
4502
2585
7956
5720
181
8798
9467
1734
3189
2633
817
153
6984
8611
1
11278
12537
66
11593
2191
578
326
12989
8214
2838
2654
36
5674
531
13142
184
1664
225
13206
2533
8218
2970
4616
4202
1323
10122
726
6329
12578
10126
5117
1734
12169
5388
2435
305
10985
3731
3534
901
11568
988
8085
1722
13836
11551
4677
3610
11677
1486
2062
3282
