time
3016
581
765
847
601
2622
2763
2301
152
64
628
8
166
2386
187
1071
2396
373
1468
974
3
1645
287
403
1228
327
162
67
172
69
2980
274
418
1
2306
438
7
278
935
2814
2380
22
765
1548
1129
2
86
1306
406
1043
149
721
4081
321
1991
3269
984
339
597
2614
629
705
733
119
383
440
55
9
87
693
71
3394
110
152
384
3060
727
3679
1533
2707
440
8
152
155
511
590
55
426
1
626
143
313
4
14
1652
78
153
1043
41
1
914
937
5665
4187
4144
457
124
4
626
3428
183
8
2416
1098
6
2913
5
229
218
2493
44
59
121
10
806
944
148
3800
296
1388
1241
1258
576
405
2396
22
62
491
438
177
11
60
370
214
658
7
101
1
1115
806
2590
376
3
125
515
477
3751
105
289
544
399
2334
71
2669
364
198
447
109
5
6
179
320
81
1381
60
2820
688
1143
41
2777
2597
388
1259
53
5
1773
871
136
3
11
20
2
70
5
377
1062
2392
955
561
223
