exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
45;AnyaSearch;11588;11587;35971;36068;72038;(249,155);(188,481);1752.89653625;1459.595184836508;maze512-2-5.map
46;AnyaSearch;24039;24038;75260;75285;150544;(338,506);(202,8);3613.53318786;3007.1361885307438;maze512-2-5.map
47;AnyaSearch;1233;1232;4664;4687;9350;(86,41);(30,41);860.67619018;714.4679650833463;maze512-2-5.map
48;AnyaSearch;11334;5451;19448;19483;38930;(314,44);(331,295);1893.10973968;1583.4858971923804;maze512-2-5.map
49;AnyaSearch;21464;21462;66021;66059;132079;(74,290);(415,82);2882.82756042;2416.7056349312425;maze512-2-5.map
50;AnyaSearch;20930;20928;66657;66731;133387;(461,127);(39,469);4596.51089324;3861.2211442998673;maze512-2-5.map
51;AnyaSearch;10301;10300;36798;36905;73702;(115,45);(412,449);3188.66818084;2656.1019095404595;maze512-2-5.map
52;AnyaSearch;3281;3281;10461;10574;21034;(183,317);(308,505);798.46298675;673.0189917155433;maze512-2-5.map
53;AnyaSearch;2760;175;833;852;1684;(68,67);(39,77);188.35533905;157.06379826262864;maze512-2-5.map
54;AnyaSearch;23556;23555;75264;75344;150607;(473,103);(262,239);4148.98398132;3473.65866274115;maze512-2-5.map
55;AnyaSearch;20931;20930;65962;66006;131967;(44,110);(502,368);4009.71695403;3341.346115060045;maze512-2-5.map
56;AnyaSearch;4677;4677;16906;16921;33826;(80,128);(163,79);1574.78383789;1306.8212732144486;maze512-2-5.map
57;AnyaSearch;23583;23582;73755;73824;147578;(499,141);(52,314);4673.48145599;3916.6099034297895;maze512-2-5.map
58;AnyaSearch;17397;8376;21877;21970;43846;(194,301);(418,477);1040.61731567;863.7251435634328;maze512-2-5.map
59;AnyaSearch;12660;12659;39942;40023;79964;(475,509);(206,191);2047.46507873;1707.8940435016955;maze512-2-5.map
60;AnyaSearch;22113;22112;66663;66726;133388;(275,28);(13,470);3628.70476074;3029.4421148653296;maze512-2-5.map
61;AnyaSearch;2691;42;185;195;379;(263,462);(289,448);88.38477631;74.03810727892977;maze512-2-5.map
62;AnyaSearch;23215;23214;70681;70708;141388;(211,417);(21,95);3639.04790649;3019.692653207611;maze512-2-5.map
63;AnyaSearch;21918;21917;65824;65875;131698;(361,423);(256,19);2685.41334686;2235.878917891559;maze512-2-5.map
