exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
153;AnyaSearch;2009;2010;5119;5434;10504;(407,37);(627,439);683.03362121;639.3856801839994;Milan_1_1024.map
154;AnyaSearch;20160;20160;37630;40303;76316;(974,745);(426,72);1220.82041778;1159.5450517749205;Milan_1_1024.map
155;AnyaSearch;4715;52;262;309;570;(605,519);(414,778);338.11479034;321.8105032468642;Milan_1_1024.map
156;AnyaSearch;3439;27;73;137;209;(863,723);(963,793);128.99494934;122.06555615733703;Milan_1_1024.map
157;AnyaSearch;2044;2045;6217;6530;12722;(21,130);(201,958);1015.73715667;973.0150507550437;Milan_1_1024.map
158;AnyaSearch;7720;7721;17203;18306;35006;(5,808);(703,76);1183.04790649;1110.341405549114;Milan_1_1024.map
159;AnyaSearch;2750;385;1699;1952;3650;(26,7);(765,998);1422.62864227;1327.7996889310657;Milan_1_1024.map
160;AnyaSearch;1936;623;2296;2409;4704;(106,71);(661,843);1075.40324554;1019.6543670404122;Milan_1_1024.map
161;AnyaSearch;2083;65;370;465;834;(234,813);(112,446);417.53405456;386.74668712220404;Milan_1_1024.map
162;AnyaSearch;2446;38;136;219;354;(538,696);(649,826);175.97770538;171.03058814416025;Milan_1_1024.map
163;AnyaSearch;2540;849;2718;2930;5633;(322,94);(813,916);1194.07229308;1124.2543120751625;Milan_1_1024.map
164;AnyaSearch;10935;10935;24507;25933;49752;(27,902);(22,1);1324.54538116;1235.6942623740429;Milan_1_1024.map
165;AnyaSearch;2321;723;2203;2375;4575;(730,629);(835,157);517.97770538;491.318288514124;Milan_1_1024.map
166;AnyaSearch;12677;12677;25408;27559;51860;(1017,974);(85,34);1459.16983947;1406.427761462398;Milan_1_1024.map
167;AnyaSearch;3588;110;581;766;1346;(1013,366);(61,903);1174.43268279;1093.0248110982757;Milan_1_1024.map
168;AnyaSearch;2099;130;551;1021;1571;(106,280);(908,828);1028.98903198;971.3433996275468;Milan_1_1024.map
169;AnyaSearch;2298;2299;6606;7191;13669;(16,999);(889,4);1381.21147002;1333.2458470056415;Milan_1_1024.map
170;AnyaSearch;1990;31;183;187;369;(164,662);(102,842);205.68124084;190.3785702225962;Milan_1_1024.map
171;AnyaSearch;7251;7251;14915;16135;30569;(25,1016);(982,147);1366.52517852;1325.8444784008875;Milan_1_1024.map
172;AnyaSearch;9709;9708;20747;22136;42038;(300,556);(972,101);968.59206237;930.0544518745887;Milan_1_1024.map
173;AnyaSearch;1401;1401;4403;4631;9003;(1016,200);(83,1006);1347.86118163;1286.2713105518608;Milan_1_1024.map
174;AnyaSearch;2279;18;27;52;78;(574,707);(633,683);68.94112549;63.694583757176716;Milan_1_1024.map
175;AnyaSearch;3020;95;517;656;1172;(897,111);(567,571);596.69047546;567.5814586832003;Milan_1_1024.map
176;AnyaSearch;2678;2679;7780;8093;15817;(37,791);(73,85);918.53823852;860.6588976075906;Milan_1_1024.map
177;AnyaSearch;3132;1108;3068;3444;6415;(990,470);(452,893);737.27121124;709.0257054854127;Milan_1_1024.map
178;AnyaSearch;1191;1192;3982;4429;8410;(957,7);(397,913);1137.95959472;1069.613808882258;Milan_1_1024.map
179;AnyaSearch;2640;862;2880;3022;5901;(155,638);(104,113);639.73715667;597.2548476801032;Milan_1_1024.map
180;AnyaSearch;2545;20;51;64;114;(244,1004);(138,973);118.84062042;111.77505820190285;Milan_1_1024.map
181;AnyaSearch;2143;716;2425;2567;4983;(942,250);(593,937);868.83975372;827.911341789474;Milan_1_1024.map
182;AnyaSearch;2611;2611;6819;7101;13842;(64,623);(856,25);1112.27835388;1048.7960011638643;Milan_1_1024.map
183;AnyaSearch;1770;1770;5245;5567;10759;(896,569);(926,62);584.04372253;545.9020256058648;Milan_1_1024.map
184;AnyaSearch;2052;16;19;27;45;(638,580);(652,596);21.79898987;21.2602916254693;Milan_1_1024.map
185;AnyaSearch;18963;18963;32667;35450;66180;(1012,894);(6,44);1467.27034453;1414.3407263053532;Milan_1_1024.map
186;AnyaSearch;2925;23;63;73;135;(740,796);(24,790);727.59797974;716.5552829743852;Milan_1_1024.map
187;AnyaSearch;13027;13027;26430;27938;53817;(335,68);(974,1023);1416.58405303;1368.6844993912478;Milan_1_1024.map
188;AnyaSearch;1998;129;660;823;1482;(684,343);(225,1000);847.12402496;801.4549269921547;Milan_1_1024.map
189;AnyaSearch;3818;15;10;16;25;(273,740);(454,733);183.89949493;181.13530854032848;Milan_1_1024.map
190;AnyaSearch;3588;28;95;107;201;(773,817);(40,772);751.63961029;735.1715911134283;Milan_1_1024.map
191;AnyaSearch;3496;107;501;655;1155;(728,297);(425,795);623.50670929;582.9348162530696;Milan_1_1024.map
192;AnyaSearch;1464;1464;3442;3657;7080;(982,227);(165,775);1096.45706939;1052.363825752897;Milan_1_1024.map
193;AnyaSearch;2162;2161;5755;5922;11658;(35,18);(882,955);1432.69465942;1354.9532089051354;Milan_1_1024.map
194;AnyaSearch;4790;4790;9722;10336;19684;(975,491);(434,86);798.28131256;760.4646509725366;Milan_1_1024.map
195;AnyaSearch;1334;1334;3852;4518;8317;(764,166);(34,1019);1223.17489013;1179.5998993194419;Milan_1_1024.map
196;AnyaSearch;3425;53;196;335;530;(576,707);(755,900);267.1442276;263.2299375071156;Milan_1_1024.map
197;AnyaSearch;2903;2903;6914;7237;14080;(299,35);(571,315);754.18795013;707.7995236573563;Milan_1_1024.map
198;AnyaSearch;4044;64;251;301;551;(232,372);(515,339);305.78174591;292.33455174878907;Milan_1_1024.map
199;AnyaSearch;1787;1788;4668;5079;9655;(26,848);(930,51);1270.44696807;1216.704873619758;Milan_1_1024.map
