exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
170;AnyaSearch;43868;43865;47391;88616;107701;(508,414);(311,8);501.90158691;457.09947934859076;random512-20-0.map
171;AnyaSearch;37305;37303;40966;81065;88445;(491,335);(9,253);532.1076477;492.643595101867;random512-20-0.map
172;AnyaSearch;4264;4253;6048;11705;14918;(167,405);(33,192);281.97770538;253.64018561979242;random512-20-0.map
173;AnyaSearch;202993;99886;97102;181925;214171;(7,505);(402,43);680.67828216;615.8643117121104;random512-20-0.map
174;AnyaSearch;17504;17504;21382;39940;49934;(430,406);(329,58);394.17871551;366.59809919103407;random512-20-0.map
175;AnyaSearch;51441;51441;53851;101610;121053;(116,461);(420,75);551.16861419;497.9560161624088;random512-20-0.map
176;AnyaSearch;85029;85029;85077;161945;188862;(500,40);(30,499);736.2762619;663.9302200979795;random512-20-0.map
177;AnyaSearch;100382;100382;95488;181219;209969;(427,36);(25,454);650.12193298;588.3471867189344;random512-20-0.map
178;AnyaSearch;30531;30531;33476;64347;77105;(95,36);(297,384);455.10259704;407.986368041607;random512-20-0.map
179;AnyaSearch;24911;24911;29848;54383;68116;(490,364);(453,11);382.12489166;358.08474534463767;random512-20-0.map
180;AnyaSearch;199478;99513;98781;187091;217214;(510,31);(17,486);749.41839752;679.9651527486654;random512-20-0.map
181;AnyaSearch;36034;36034;39142;75408;86878;(493,257);(119,486);495.21529541;445.7411304961987;random512-20-0.map
182;AnyaSearch;27855;27854;31585;58870;72096;(170,156);(294,490);396.04877319;361.23065644384883;random512-20-0.map
183;AnyaSearch;2546;806;1556;2983;3973;(416,207);(476,309);136.7106781;121.09416435210687;random512-20-0.map
184;AnyaSearch;74819;74819;75993;144065;168797;(17,430);(438,3);672.2640686;606.989380920406;random512-20-0.map
185;AnyaSearch;21229;21228;24218;46464;54885;(148,1);(456,221);427.8305191;383.12442320384633;random512-20-0.map
186;AnyaSearch;45892;45892;49725;92451;110631;(267,56);(180,409);406.55129852;371.54599340443366;random512-20-0.map
187;AnyaSearch;3681;3681;5680;10532;13708;(335,335);(251,150);229.99494934;206.00479631560484;random512-20-0.map
188;AnyaSearch;165588;81077;81604;155017;180276;(500,468);(63,51);681.19300079;612.53207595946;random512-20-0.map
189;AnyaSearch;5670;5670;8051;14965;19001;(365,381);(277,206);223.65180359;199.4985408779947;random512-20-0.map
190;AnyaSearch;56744;56744;59285;111818;134092;(310,48);(43,488);577.5411972;521.3558129756661;random512-20-0.map
191;AnyaSearch;20596;20596;23648;44335;51770;(146,346);(310,481);246.76450195;219.74660678925508;random512-20-0.map
192;AnyaSearch;109214;109214;107034;200225;235527;(101,501);(469,2);697.12193298;628.1914546750105;random512-20-0.map
193;AnyaSearch;64034;64034;65398;126248;146190;(481,510);(3,100);708.16356353;636.7575474317954;random512-20-0.map
194;AnyaSearch;24368;24368;27356;51570;63015;(97,457);(372,136);471.81327514;427.12622474672753;random512-20-0.map
195;AnyaSearch;35018;35018;39381;72814;89650;(252,58);(354,441);439.00714264;402.2620346032899;random512-20-0.map
196;AnyaSearch;121908;59849;62221;119805;136478;(23,332);(436,43);571.36962433;510.93984769522206;random512-20-0.map
197;AnyaSearch;2898;2898;4342;8294;10543;(245,286);(109,161);211.20815277;187.6295357533597;random512-20-0.map
198;AnyaSearch;7649;7649;9880;18939;23116;(247,488);(384,324);244.76450195;217.00861596825013;random512-20-0.map
199;AnyaSearch;21461;21461;26862;50175;62164;(233,447);(229,82);397.12489166;368.0261687265936;random512-20-0.map
