exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
121;AnyaSearch;2355;63;139;182;320;(176,154);(220,124);75.55634918;70.8512803480968;AR0500SR.map
122;AnyaSearch;3114;450;910;993;1881;(221,205);(224,86);221.58073578;209.18711810533472;AR0500SR.map
123;AnyaSearch;2242;69;110;159;268;(58,274);(134,202);105.82337646;104.7533047182259;AR0500SR.map
124;AnyaSearch;1535;1533;2570;2796;5259;(281,192);(11,248);502.70057678;474.76330711784505;AR0500SR.map
125;AnyaSearch;1121;1005;2191;2279;4469;(12,240);(292,107);374.94826813;353.0236372733321;AR0500SR.map
126;AnyaSearch;3860;118;285;370;654;(5,250);(179,187);200.92388153;189.07766285347415;AR0500SR.map
127;AnyaSearch;4701;4701;7201;7476;14522;(76,275);(292,152);473.39906158;450.9291937306945;AR0500SR.map
128;AnyaSearch;2496;2495;1681;1808;3457;(243,246);(237,3);341.00714264;318.82830501720184;AR0500SR.map
129;AnyaSearch;1677;1676;2757;2906;5644;(17,278);(282,35);405.28636322;386.7783403341895;AR0500SR.map
130;AnyaSearch;2523;2522;2549;2798;5253;(231,15);(7,274);396.8305191;375.5659037445698;AR0500SR.map
131;AnyaSearch;2481;2480;2576;2841;5373;(235,48);(215,241);270.52186127;254.7789033165724;AR0500SR.map
132;AnyaSearch;1296;1294;2057;2156;4181;(262,201);(292,85);384.97770538;360.11863904653325;AR0500SR.map
133;AnyaSearch;3058;379;809;939;1733;(157,80);(14,223);279.92388153;267.3962227922727;AR0500SR.map
134;AnyaSearch;4161;4160;6725;6974;13511;(5,272);(251,161);516.02647857;488.3816258623485;AR0500SR.map
135;AnyaSearch;3015;85;64;103;166;(203,99);(245,109);52.76955261;49.11671641781072;AR0500SR.map
136;AnyaSearch;3127;96;184;223;400;(233,144);(159,127);91.18376617;84.08530709162375;AR0500SR.map
137;AnyaSearch;1573;500;1034;1084;2117;(22,236);(146,178);187.19595947;177.98049440223446;AR0500SR.map
138;AnyaSearch;1811;535;1071;1157;2227;(100,205);(221,122);191.92388153;179.95956199470555;AR0500SR.map
139;AnyaSearch;1055;1054;973;1105;2004;(242,147);(138,126);241.79393921;224.7066502528006;AR0500SR.map
140;AnyaSearch;2934;88;170;234;402;(228,30);(193,89);73.49747467;70.76051539315287;AR0500SR.map
141;AnyaSearch;3112;166;389;444;832;(135,201);(187,99);138.46803741;130.03475948564565;AR0500SR.map
142;AnyaSearch;3181;401;795;874;1649;(220,129);(72,213);216.85281372;205.4496291436113;AR0500SR.map
143;AnyaSearch;1939;568;854;975;1771;(289,105);(178,148);153.88225098;144.7907846970013;AR0500SR.map
144;AnyaSearch;3399;1287;2180;2480;4555;(291,154);(42,280);505.5411972;478.7222094078819;AR0500SR.map
145;AnyaSearch;3636;61;68;95;162;(79,252);(29,289);66.49747467;63.137137465438286;AR0500SR.map
146;AnyaSearch;2589;334;744;816;1535;(219,239);(147,209);142.99494934;134.9842062032877;AR0500SR.map
147;AnyaSearch;3949;30;1;1;1;(22,315);(22,315);0.0;0.0;AR0500SR.map
