Index,Expanded,Time,Length
0,2693,2.070253,204.94322899592856
1,27208,19.015416,630.8811857866647
2,184,0.129105,52.763672710007086
3,28288,18.106129,564.8888963645966
4,2758,1.702858,201.68906545892227
5,4125,2.639762,265.4029013011728
6,11051,7.067314,470.9341347177333
7,11076,7.060762,376.9897362231508
8,4482,2.799144,297.9610977503128
9,16628,10.96994,498.6024476282349
10,25342,16.843539,622.798105764833
11,10021,6.562596,398.2140079115638
12,2991,1.840249,245.681527424836
13,66,0.029682,21.404534620304712
14,417,0.226998,84.51312750077714
15,30633,21.050169,649.3468017603186
16,2605,1.611159,195.54966501995816
17,1306,0.782216,131.4398746188155
18,9398,6.542107,439.7024194133281
19,2129,1.289923,190.72667528958752
20,69,0.046392,25.834062708759312
21,591,0.35583,78.33643681952044
22,12059,7.410031,451.7990815541399
23,5294,3.549547,337.21407486456064
24,3787,2.594989,264.32031646796366
25,19190,12.193432,543.0707407355659
26,19313,13.338786,585.0356885568656
27,4647,3.010413,228.32369960576509
28,6188,3.945631,332.653075895387
29,9249,6.565995,467.579937327745
30,9499,6.549838,397.8890944412052
31,1078,0.632152,91.47890999940796
32,6655,4.088014,285.3744228055808
33,25770,18.017929,667.2421899296992
34,11042,6.907995,427.4643414437485
35,1072,0.72093,138.77683993912706
36,2661,1.594893,182.27228585831097
37,132,0.078586,35.348630509133834
38,16229,10.203342,537.201176082772
39,6492,3.988545,331.0959943739324
40,2,0.001176,1.0
41,8358,5.217056,400.5529333904749
42,23184,15.299138,606.6940887596569
43,11374,6.869681,414.8576305530036
44,17847,11.211248,512.5317358420792
45,19636,12.470579,546.1811782367182
46,19953,13.090299,557.6933148192854
47,22229,14.526535,550.7798866943037
48,15788,9.869423,499.4640125069769
49,1515,0.922883,148.88401461707912
50,5926,3.682405,283.22670560697566
51,4348,3.009771,337.85832577179264
52,128,0.066224,49.83173170690097
53,13532,9.007261,503.8654438788004
54,3301,2.070745,247.68498006237328
55,12126,7.909805,467.9557366634866
56,3817,2.254569,243.3519271068371
57,16269,10.382532,506.2742757641883
58,30829,19.501078,638.9545155304041
59,458,0.282436,96.6059551867858
60,19526,12.752722,545.4474314026585
